url,listing_id,brand,model,version,mileage,year,transmission,drivetrain,fuel_type,horsepower_cv,location,seller,price_rating,price,listing_date,car_condition,previous_owners,body_type,exterior_color,interior_color,upholstery,seats,doors,engine,power_ch,cylinder_capacity
https://www.automobile.tn/fr/occasion/jeep/renegade/121010,121010,Jeep,Renegade,N/A,101000,2017,Manuelle,Traction,Essence,6,Tunis,Individual,Prix équitable,65000,02.12.2025,Très bon,2ème main,SUV,Noir,Noir,Tissu,5,5,07/2014 - 08/2018,N/A,N/A
https://www.automobile.tn/fr/occasion/renault/clio-campus/121009,121009,Renault,Clio Campus,Campus,197000,2011,Manuelle,Traction,Essence,4,Ariana,Individual,Prix élevé,29500,02.12.2025,Très bon,2ème main,Citadine,Noir,Marron,Similicuir,5,5,Campus Evolution 5 Portes07/2006 - 12/2012,N/A,N/A
https://www.automobile.tn/fr/occasion/chery/tiggo-7/120188,120188,Chery,Tiggo 7,7 Pro,85000,2022,Automatique,Traction,Essence,9,Ariana,Individual,Prix équitable,75000,02.12.2025,Très bon,1ère main,SUV,Noir,Noir,Cuir intégral,5,5,09/2021 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/fiat/doblo/120882,120882,Fiat,Doblo,N/A,398000,2015,Manuelle,Traction,Diesel,5,Ben Arous,Individual,Aucune évaluation,18000,02.12.2025,Très bon,1ère main,Utilitaire,Gris argent,Noir,Similicuir,2,4,Cargo III (263) Fourgon Phase 211/2014 - 12/2023,N/A,N/A
https://www.automobile.tn/fr/occasion/mini/3-portes/120180,120180,Mini,3 Portes,portes,180000,2009,Manuelle,Traction,Essence,5,Tunis,Individual,Prix équitable,29000,02.12.2025,Très bon,2ème main,Citadine,Beige,Noir,Tissu,5,3,2 (R56)11/2006 - 07/2010,N/A,N/A
https://www.automobile.tn/fr/occasion/citroen/c4-cactus/120762,120762,Citroen,C4 Cactus,CactusFeel,124000,2016,Manuelle,Traction,Essence,5,Tunis,Individual,Bon prix,33000,02.12.2025,Très bon,1ère main,Compacte,Noir,Noir,Tissu,5,5,05/2014 - 11/2017,N/A,N/A
https://www.automobile.tn/fr/occasion/dongfeng/sx3/120568,120568,Dongfeng,Sx3,N/A,117000,2020,Manuelle,Traction,Essence,8,Ariana,Individual,Prix équitable,46900,02.12.2025,Très bon,1ère main,SUV,Blanc,Noir,Cuir partiel,5,5,01/2020 - 02/2023,N/A,N/A
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c-coupe/121005,121005,Mercedes Benz,Classe C Coupe,C coupé,88000,2016,Automatique,Propulsion,Essence,8,Ariana,Individual,Prix très élevé,148000,02.12.2025,Très bon,2ème main,Coupé,Blanc,Noir,Cuir partiel,4,2,(205) Coupé09/2015 - 04/2021,N/A,N/A
https://www.automobile.tn/fr/occasion/peugeot/308/119708,119708,Peugeot,308,N/A,195000,2017,Manuelle,Traction,Essence,6,Ariana,Individual,Prix équitable,37100,02.12.2025,Très bon,2ème main,Compacte,Noir,Noir,Tissu,5,5,II (T9)07/2013 - 08/2017,N/A,N/A
https://www.automobile.tn/fr/occasion/mercedes-benz/cls/121002,121002,Mercedes Benz,Cls,N/A,281000,2013,Automatique,Propulsion,Diesel,11,Tunis,Individual,Aucune évaluation,85000,02.12.2025,Très bon,1ère main,Coupé,Noir,Beige,Cuir intégral,4,4,(218) Coupé09/2010 - 06/2014,N/A,N/A
https://www.automobile.tn/fr/occasion/bmw/serie-3/120997,120997,Bmw,Serie 3,3,159000,2008,Automatique,Propulsion,Essence,9,Ariana,Individual,Aucune évaluation,40500,02.12.2025,Très bon,1ère main,Berline,Gris argent,Beige,Similicuir,5,4,(E90) Berline01/2004 - 09/2008,N/A,N/A
https://www.automobile.tn/fr/occasion/volkswagen/golf-6/120996,120996,Volkswagen,Golf 6,6Trendline,292000,2011,Manuelle,Intégrale,Essence,7,Médenine,Individual,Prix très élevé,42000,02.12.2025,Très bon,2ème main,Compacte,Gris Shark,Noir,Tissu,5,5,VI 5 Portes10/2008 - 12/2015,N/A,N/A
https://www.automobile.tn/fr/occasion/land-rover/range-rover-evoque/120994,120994,Land Rover,Range Rover Evoque,Range Rover EvoqueR-Dynamic,177000,2014,Automatique,Intégrale,Essence,15,Tunis,Individual,Bon prix,84000,02.12.2025,Très bon,2ème main,SUV,Blanc,Rouge,Cuir intégral,5,5,Evoque I (5p)03/2011 - 05/2015,N/A,N/A
https://www.automobile.tn/fr/occasion/porsche/macan/120991,120991,Porsche,Macan,N/A,38000,2017,Automatique,Intégrale,Essence,15,Tunis,Individual,Très bon prix,183000,02.12.2025,Très bon,1ère main,SUV,Blanc,Noir,Alcantara,5,5,02/2014 - 05/2018,N/A,N/A
https://www.automobile.tn/fr/occasion/mercedes-benz/glc-coupe/120990,120990,Mercedes Benz,Glc Coupe,CoupéAMG,92000,2018,Automatique,Intégrale,Essence,15,Tunis,Individual,Très bon prix,159000,02.12.2025,Très bon,1ère main,SUV,Blanc,Beige,Cuir intégral,5,5,(C253) Coupé06/2016 - 03/2019,N/A,N/A
https://www.automobile.tn/fr/occasion/bmw/serie-5/120562,120562,Bmw,Serie 5,5Exclusive,216000,2007,Automatique,Propulsion,Diesel,10,Ariana,Individual,Très bon prix,42500,02.12.2025,Très bon,2ème main,Berline,Noir,Gris,Tissu,5,4,(E60) LCI Berline01/2007 - 04/2010,N/A,N/A
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/118958,118958,Mercedes Benz,Classe C,CAMG +,6388,2022,Automatique,Propulsion,Hybride,12,Sfax,Individual,Prix équitable,255000,02.12.2025,Très bon,2ème main,Berline,Blanc,Marron,Cuir intégral,5,5,(206) Berline03/2021 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/seat/ibiza/118356,118356,Seat,Ibiza,N/A,125000,2020,Manuelle,Traction,Essence,6,Ariana,Individual,Bon prix,57500,02.12.2025,Très bon,1ère main,Citadine,Blanc,Noir,Cuir partiel,5,5,V02/2017 - 06/2021,N/A,N/A
https://www.automobile.tn/fr/occasion/audi/q3/120987,120987,Audi,Q3,Plus,104000,2021,Automatique,Traction,Essence,9,Tunis,Individual,Très bon prix,115000,02.12.2025,Très bon,1ère main,SUV,Noir,Marron,Similicuir,5,5,Série 2 (F3B)07/2019 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/117969,117969,Mercedes Benz,Classe C,CAMG,38000,2021,Automatique,Propulsion,Hybride,9,Ariana,Individual,Très bon prix,170000,02.12.2025,Très bon,1ère main,Berline,Noir,Noir,Cuir partiel,5,5,(206) Berline03/2021 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/honda/cr-v/120982,120982,Honda,Cr V,N/A,124500,2019,Automatique,Intégrale,Essence,11,Tunis,Individual,Très bon prix,89000,02.12.2025,Très bon,2ème main,SUV,Noir,Noir,Cuir intégral,5,5,mk V06/2018 - 09/2022,N/A,N/A
https://www.automobile.tn/fr/occasion/fiat/500/120977,120977,Fiat,500,N/A,81110,2020,Manuelle,Traction,Essence,4,Sousse,Individual,Bon prix,44500,02.12.2025,Très bon,1ère main,Citadine,Vert,Beige,Tissu,4,4,III Phase 307/2015 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/nissan/qashqai/119649,119649,Nissan,Qashqai,N/A,134000,2016,Automatique,Traction,Essence,6,Ariana,Expert Auto,Très bon prix,49000,02.12.2025,Très bon,1ère main,SUV,Gris anthracite,Beige,Alcantara,5,5,II (J11E)12/2013 - 05/2017,N/A,N/A
https://www.automobile.tn/fr/occasion/peugeot/301/120588,120588,Peugeot,301,N/A,128000,2018,Manuelle,Traction,Essence,5,Tunis,Individual,Prix équitable,27900,02.12.2025,Normal,2ème main,Berline,Bleu,Beige,Tissu,5,4,phase 201/2017 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/ford/fusion/119164,119164,Ford,Fusion,N/A,27000,2021,Automatique,Traction,Essence,9,Bizerte,Individual,Prix très élevé,98000,02.12.2025,Très bon,1ère main,Berline,Noir,Noir,Cuir intégral,5,4,01/2015 - 12/2021,N/A,N/A
https://www.automobile.tn/fr/occasion/mg/gt/120485,120485,Mg,Gt,N/A,20000,2023,Automatique,Traction,Essence,9,Médenine,Individual,Prix équitable,80000,02.12.2025,Très bon,1ère main,Berline,Gris Shark,Noir,Similicuir,5,4,01/2023 - Aujourd'hui,N/A,N/A
